Date,Volume,SP_close,DJ_close,EG_close,USDI_Price,EU_Price,SF_Price,PLT_Price,PLD_Price,USO_Close,GDX_Close,RHO_PRICE,Close
2017-03-17,4683000,237.029999,20914.61914,15.5,100.115,1.0738,40909,965.8,776.4,10.33,22.67,960,116.989998
2017-03-20,4000200,236.770004,20905.85938,15.4,100.234,1.0739,40869,972.85,782.2,10.27,22.889999,960,117.510002
2017-03-21,9567900,233.729996,20668.00977,15.85,99.614,1.0811,41282,972.6,788.2,10.11,23.26,960,118.540001
2017-03-22,7287400,234.279999,20661.30078,15.75,99.468,1.0797,41233,962.35,790,10.12,23.25,975,118.830002
2017-03-23,6201100,234.029999,20656.58008,15.85,99.563,1.0783,41300,962.95,800.7,10.01,23.030001,1000,118.669998
2017-03-24,6879600,233.860001,20596.7207,15.7,99.442,1.0799,41530,966.35,813.8,10.09,22.92,1015,118.860001
2017-03-27,8519600,233.619995,20550.98047,16.25,98.973,1.0865,42122,970.6,794.95,10.04,23.43,1015,119.529999
2017-03-28,7112800,235.320007,20701.5,15.8,99.549,1.0813,42388,956.75,793.1,10.15,22.809999,1015,119.040001
2017-03-29,4911000,235.539993,20659.32031,17.4,99.836,1.0767,42283,959.2,790.65,10.37,22.91,1015,119.330002
2017-03-30,6894600,236.289993,20728.49023,17.4,100.285,1.0675,42147,952.2,798.05,10.57,22.549999,1015,118.470001
2017-03-31,8520800,235.740005,20663.2207,17.049999,100.218,1.0652,42326,953.4,798.5,10.64,22.809999,0,118.720001
2017-04-03,6105700,235.330002,20650.21094,17.200001,100.412,1.0671,42321,962.65,802.85,10.55,23.200001,1025,119.349998
2017-04-04,4687300,235.479996,20689.24023,17.200001,100.426,1.0674,42570,963.1,807.15,10.71,23.450001,1025,119.620003
2017-04-05,8106000,234.779999,20648.15039,17.1,100.441,1.0663,42258,965.3,808.05,10.68,23.48,1025,119.620003
2017-04-06,4633500,235.440002,20662.94922,17.25,100.57,1.0644,42093,959.9,804.45,10.86,23.51,1025,119.18
